period,attendances_type1,attendances_type2,attendances_type3,total_attendances,emergency_admissions,emergency_admissions_type1,pct_within_4h_all,pct_within_4h_type1,pct_within_4h_type2,pct_within_4h_type3,attendances_over_4h,attendances_under_4h,booked_attendances
2014-02-01,1084743.7142857143,47704.7142857143,529366.0,1661814.4285714277,305984.2857142856,302574.57142857136,0.9463831314842529,0.9189449094361459,0.9965322385029333,0.998088549051399,89101.28571428571,1572713.142857142,
2014-03-01,1269436.142857143,55798.14285714286,632106.5714285715,1957340.8571428587,339991.7142857144,336284.4285714285,0.9561503485851723,0.9336849555139948,0.9962261928840438,0.997729135186517,85828.71428571429,1871512.1428571444,
2014-04-01,1213065.8571428573,52033.71428571427,612576.2857142857,1877675.8571428566,330070.7142857141,326337.1428571428,0.9526238021761096,0.9279215908781775,0.9974824015198936,0.9977304284434312,88957.14285714283,1788718.7142857139,
2014-05-01,1287333.1428571427,54445.71428571429,636249.5714285718,1978028.4285714282,343160.7142857142,339252.85714285716,0.9483375906990792,0.9218873525023826,0.995875314861461,0.997786807378147,102189.71428571426,1875838.7142857139,
2014-06-01,1265211.142857143,54997.14285714282,622059.7142857142,1942267.999999999,330863.85714285704,327064.71428571426,0.9521880017146376,0.9282507109485283,0.9945581588653956,0.9971282040447197,92863.71428571428,1849404.2857142847,
2014-07-01,1302588.4285714282,55792.57142857146,635249.857142857,1993630.8571428566,338664.71428571444,334822.857142857,0.95171021773912,0.927437884940962,0.994410418181632,0.9977307016879072,96272.0,1897358.8571428566,
2014-08-01,1188146.7142857146,53051.28571428572,576112.0000000001,1817309.9999999995,325276.5714285716,321638.4285714287,0.95109270609543,0.9265045069590372,0.995683422241012,0.997696132498046,88879.71428571426,1728430.2857142852,
2014-09-01,1221781.5714285716,52195.285714285725,579308.8571428573,1853285.7142857146,327391.5714285715,323732.57142857154,0.946122870577353,0.9197378161235508,0.9946902703309275,0.9973939388857954,99849.71428571433,1753436.0000000002,
2014-10-01,1250114.1428571434,54428.2857142857,587831.5714285716,1892374.0000000002,343988.14285714284,339832.57142857136,0.9371275747515327,0.906293471030474,0.9966718985401498,0.9971877269995463,118978.1428571429,1773395.8571428573,
2014-11-01,1205519.2857142857,52329.428571428565,572611.5714285714,1830460.2857142866,337078.2857142857,331923.85714285704,0.9345895981510349,0.9023953518548913,0.9944445354430449,0.9968981715603272,119731.14285714291,1710729.1428571437,
2014-12-01,1241894.7142857136,47659.57142857144,611672.7142857146,1901226.9999999993,359010.42857142864,353471.85714285716,0.8989310587320714,0.8477827025364353,0.9964899870210451,0.9951773929522068,192155.00000000006,1709071.9999999993,
2015-01-01,1124040.428571428,50900.42857142858,557126.1428571428,1732066.9999999995,338458.5714285715,333668.8571428572,0.9115759213867428,0.8654843756890798,0.9968004759993601,0.9967824675765914,153156.42857142855,1578910.571428571,
2015-02-01,1072451.571428571,48156.857142857145,534237.9999999998,1654846.4285714282,310853.0,306651.2857142857,0.9197098565468957,0.8776183166978835,0.9959358999460097,0.9973350561253331,132867.85714285716,1521978.571428571,
2015-03-01,1251324.8571428568,56383.00000000002,635259.1428571428,1942967.0000000005,346644.7142857144,340682.2857142857,0.9273307266669994,0.8891901315108991,0.993584692447825,0.9965791238401246,141194.0000000001,1801773.0000000005,
2015-04-01,1206631.285714286,52365.71428571426,614170.7142857141,1873167.7142857148,332366.8571428571,326807.42857142875,0.9328414189744585,0.8979896687578487,0.9900316455696202,0.9964367747915598,125799.28571428564,1747368.428571429,
2015-05-01,1254445.1428571427,54809.42857142856,628214.2857142863,1937468.8571428577,345372.42857142864,339572.2857142856,0.943078089660722,0.9142364136859145,0.9910338679997707,0.9964864127345082,110284.428571429,1827184.4285714286,
2015-06-01,1249213.0,53398.00000000001,608598.0000000001,1911209.0,333981.0,328757.0,0.9480308014455772,0.9226208821073748,0.9955241769354658,0.996020361552289,99323.9999999999,1811885.0,
